time,h1,h2,h3,h4,v1,v2,modo,sp1,sp2,Ki,Kd,Kp,Kw
2024-11-07 16:25:44.907780,24.494631051235302,25.148367106263763,3.138381443716065,2.8181408796302585,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:45.912265,24.139579684797962,25.511128478909093,3.4142882782926947,2.685583155192839,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:47.916285,25.01519903156157,25.04719719672739,3.057763148187196,3.0135256260744354,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:48.923718,25.49841275341432,24.780194535574733,2.851432198180883,3.1920360433938866,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:50.925879,24.757050806264612,24.865893772932093,2.9331230484632775,2.9228502592579866,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:51.932442,24.403412847392254,25.222332433414607,3.207074123664426,2.7918593960176796,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:53.937117,25.369841634495945,25.37301561864206,3.308289443710168,3.1476838212470133,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:56.947299,25.10546556645961,24.620052725567636,2.7289847860003573,3.044268589708589,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:58.967094,24.35736653711367,24.71306162980458,2.823729658516861,2.776130473740977,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:00.976629,24.465600246970794,25.431629124318846,3.3792241857550205,2.822436299511634,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:02.984553,25.422017213847067,25.56867513963018,3.462118913566445,3.1702976283102204,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:05.012673,25.53643679877862,25.048721011918154,3.0480335055650554,3.2028870735054484,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:07.017312,24.80143918187144,24.54752027737647,2.67446131485824,2.9311158537666167,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:10.026589,25.31555682438257,25.008127765060816,3.0568065581464112,3.1400794830397896,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:12.027646,25.423434373894317,25.12936771963225,3.1345652180040853,3.1720449045175854,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
